bed.block.order,bed.order,AB.CD.order,column.order,Pop.Type,status,block,loc,bed,bedrow,bedcol,pop,mf,rep,unique.ID
1357,1309,13,1,Parent,available,N,G_32_B,G,32,B,YO11,,1,43
1358,1310,13,1,Parent,available,N,G_33_A,G,33,A,TM2,,86,556
1359,1311,13,1,F2,available,N,G_33_B,G,33,B,(SQ3 x WL2) x (WL2),,5,84
1360,1312,13,1,Parent,available,N,G_34_A,G,34,A,WL2,,48,143
1361,1313,13,1,F2,available,N,G_34_B,G,34,B,(LV1 x WL2) x (WL2),,5,68
1362,1314,13,1,F2,available,N,G_35_A,G,35,A,(TM2 x BH) x (TM2),,8,1057
1363,1315,13,1,F2,available,N,G_35_B,G,35,B,(SQ3 x WL2) x (TM2 x WL2),,2,880
1364,1316,13,1,Parent,available,N,G_36_A,G,36,A,WV,,1,450
1365,1317,13,1,F1,available,N,G_36_B,G,36,B,WV x WL2,,8,1410
1409,1318,13,1,2023-survivor,2023-survivor,NA,G_37_A,G,37,A,YO7,7,9,YO7_7_9
1366,1319,13,1,F1,available,N,G_37_B,G,37,B,WL2 x BH,,7,836
1367,1320,13,1,Parent,available,N,G_38_A,G,38,A,WL2,,16,111
1368,1321,13,1,F2,available,N,G_38_B,G,38,B,(WV x WL2) x (WL2 x DPR),,6,1330
1410,1322,13,1,2023-TM2-fruit,2023-TM2-fruit,NA,G_39_A,G,39,A,TM2,7,17,TM2_7_17
1369,1323,13,1,Parent,available,N,G_39_B,G,39,B,WL2,,76,171
1411,1324,13,1,2023-TM2-fruit,2023-TM2-fruit,NA,G_40_A,G,40,A,TM2,3,7,TM2_3_7
1370,1325,13,1,Parent,available,N,G_40_B,G,40,B,TM2,,6,476
1371,1326,13,1,F2,available,N,G_41_A,G,41,A,(YO11 x WL2) x (SQ3 x WL2),,16,1017
1372,1327,13,1,F2,available,N,G_41_B,G,41,B,(DPR x WL2) x (YO11 x WL2),,12,706
1373,1328,13,1,F2,available,N,G_42_A,G,42,A,(YO11 x WL2) x (WV x WL2),,3,841
1374,1329,13,1,F2,available,N,G_42_B,G,42,B,(DPR x WL2) x (WV x WL2),,8,1464
1412,1330,13,1,2023-survivor,2023-survivor,NA,G_43_A,G,43,A,IH,6,13,IH_6_13
1375,1331,13,1,Parent,available,N,G_43_B,G,43,B,TM2,,64,534
1376,1332,13,1,,buffer,N,G_44_A,G,44,A,,,,buffer
1377,1333,13,1,,buffer,N,G_44_B,G,44,B,,,,buffer
1378,1334,13,1,,buffer,N,G_45_A,G,45,A,,,,buffer
1379,1335,13,1,,buffer,N,G_45_B,G,45,B,,,,buffer
1277,1336,14,2,,buffer,L,G_1_C,G,1,C,,,,buffer
1278,1337,14,2,,buffer,L,G_1_D,G,1,D,,,,buffer
1279,1338,14,2,,buffer,L,G_2_C,G,2,C,,,,buffer
1280,1339,14,2,,buffer,L,G_2_D,G,2,D,,,,buffer
1281,1340,14,2,,buffer,L,G_3_C,G,3,C,,,,buffer
1282,1341,14,2,,buffer,L,G_3_D,G,3,D,,,,buffer
1283,1342,14,2,F2,available,L,G_4_C,G,4,C,(DPR) x (DPR x WL2),,11,721
1284,1343,14,2,F2,available,L,G_4_D,G,4,D,(WL2 x DPR) x (WL2),,3,1100
1285,1344,14,2,F2,available,L,G_5_C,G,5,C,(WL2 x DPR) x (YO11 x WL2),,2,570
1413,1345,14,2,2023-survivor,2023-survivor,NA,G_5_D,G,5,D,YO7,5,7,YO7_5_7
1286,1346,14,2,F2,available,L,G_6_C,G,6,C,(WL2 x CC) x (WL2 x TM2),,3,1180
1414,1347,14,2,2023-survivor,2023-survivor,NA,G_6_D,G,6,D,IH,2,12,IH_2_12
1287,1348,14,2,Parent,available,L,G_7_C,G,7,C,TM2,,46,516
1415,1349,14,2,2023-survivor,2023-survivor,NA,G_7_D,G,7,D,BH,4,12,BH_4_12
1288,1350,14,2,F2,available,L,G_8_C,G,8,C,(WL1 x WL2) x (WL2 x CC),,3,1116
1289,1351,14,2,Parent,available,L,G_8_D,G,8,D,TM2,,60,530
1290,1352,14,2,Parent,available,L,G_9_C,G,9,C,TM2,,4,474
1291,1353,14,2,Parent,available,L,G_9_D,G,9,D,TM2,,85,555
1292,1354,14,2,F2,available,L,G_10_C,G,10,C,(TM2 x BH) x (TM2 x WL2),,6,1039
1293,1355,14,2,F1,available,L,G_10_D,G,10,D,WV x TM2,,17,210
1294,1356,14,2,F2,available,L,G_11_C,G,11,C,(LV1 x WL2) x (WL2 x DPR),,15,970
1295,1357,14,2,Parent,available,L,G_11_D,G,11,D,SQ3,,12,33
1296,1358,14,2,F1,available,L,G_12_C,G,12,C,WV x TM2,,1,194
1416,1359,14,2,2023-survivor,2023-survivor,NA,G_12_D,G,12,D,CC,5,12,CC_5_12
1297,1360,14,2,Parent,available,L,G_13_C,G,13,C,WL2,,89,184
1298,1361,14,2,F2,available,L,G_13_D,G,13,D,(WL2 x TM2) x (CC x TM2),,8,259
1299,1362,14,2,Parent,available,L,G_14_C,G,14,C,WL2,,14,109
1300,1363,14,2,Parent,available,L,G_14_D,G,14,D,WL2,,25,120
1301,1364,14,2,F2,available,L,G_15_C,G,15,C,(WL2 x BH) x (SQ3 x WL2),,5,1166
1302,1365,14,2,F1,available,L,G_15_D,G,15,D,SQ3 x WL2,,8,644
1303,1366,14,2,,buffer,L,G_16_C,G,16,C,Buffer,,,NA
1304,1367,14,2,,buffer,L,G_16_D,G,16,D,Buffer,,,NA
1332,1368,14,2,F2,available,M,G_17_C,G,17,C,(WL1 x WL2) x (WL2 x TM2),,7,1152
1333,1369,14,2,F2,available,M,G_17_D,G,17,D,(SQ3 x WL2) x (WL2),,4,83
1334,1370,14,2,F1,available,M,G_18_C,G,18,C,CC x TM2,,11,1361
1335,1371,14,2,Parent,available,M,G_18_D,G,18,D,TM2,,63,533
1336,1372,14,2,F2,available,M,G_19_C,G,19,C,(WL2) x (WV x WL2),,7,765
1337,1373,14,2,F2,available,M,G_19_D,G,19,D,(LV1 x WL2) x (WL2),,4,67
1338,1374,14,2,Parent,available,M,G_20_C,G,20,C,WL2,,26,121
1339,1375,14,2,F2,available,M,G_20_D,G,20,D,(SQ3 x WL2) x (TM2 x WL2),,13,891
1340,1376,14,2,Parent,available,M,G_21_C,G,21,C,WL2,,98,193
1341,1377,14,2,F2,available,M,G_21_D,G,21,D,(WL2) x (TM2 x WL2),,16,926
1342,1378,14,2,F2,available,M,G_22_C,G,22,C,(WL2 x CC) x (WL2 x TM2),,4,1181
1343,1379,14,2,F2,available,M,G_24_C,G,24,C,(TM2 x BH) x (TM2 x BH),,9,1343
1344,1380,14,2,F2,available,M,G_24_D,G,24,D,(WL2 x TM2) x (CC x TM2),,9,260
1345,1381,14,2,Parent,available,M,G_25_C,G,25,C,WL2,,15,110
1346,1382,14,2,F2,available,M,G_25_D,G,25,D,(DPR) x (DPR x WL2),,9,719
1347,1383,14,2,F2,available,M,G_26_C,G,26,C,(WL2 x DPR) x (DPR),,2,1195
1348,1384,14,2,Parent,available,M,G_26_D,G,26,D,WL2,,37,132
1417,1385,14,2,2023-survivor,2023-survivor,NA,G_27_C,G,27,C,YO7,6,9,YO7_6_9
1349,1386,14,2,F2,available,M,G_27_D,G,27,D,(TM2 x WL2) x (SQ3 x WL2),,9,313
1350,1387,14,2,F2,available,M,G_28_C,G,28,C,(WL2 x DPR) x (WL2),,14,1111
1351,1388,14,2,Parent,available,M,G_28_D,G,28,D,LV1,,15,15
1352,1389,14,2,F2,available,M,G_29_C,G,29,C,(TM2 x BH) x (TM2 x WL2),,8,1041
1353,1390,14,2,F1,available,M,G_29_D,G,29,D,WV x TM2,,26,219
1354,1391,14,2,,available,M,G_30_C,G,30,C,,,,NA
1355,1392,14,2,,available,M,G_30_D,G,30,D,,,,NA
1418,1393,14,2,2023-TM2-fruit,2023-TM2-fruit,NA,G_31_C,G,31,C,TM2,7,5,TM2_7_5
1380,1394,14,2,F2,available,N,G_31_D,G,31,D,(WL2 x BH) x (SQ3 x WL2),,13,1174
1381,1395,14,2,F2,available,N,G_32_C,G,32,C,(WL2) x (DPR x WL2),,7,901
1419,1396,14,2,2023-survivor,2023-survivor,NA,G_32_D,G,32,D,WL2,7,6,WL2_7_6
1382,1397,14,2,F2,available,N,G_33_C,G,33,C,(TM2 x WL2) x (TM2 x WL2),,9,1090
1383,1398,14,2,F2,available,N,G_33_D,G,33,D,(WV x WL2) x (WV),,10,277
1384,1399,14,2,F2,available,N,G_34_C,G,34,C,(WL2 x BH) x (WL2 x TM2),,3,238
1385,1400,14,2,F1,available,N,G_34_D,G,34,D,WV x TM2,,4,196
1386,1401,14,2,F2,available,N,G_35_C,G,35,C,(WV) x (WV x WL2),,8,1394
1387,1402,14,2,Parent,available,N,G_35_D,G,35,D,WL1,,17,300
1388,1403,14,2,F1,available,N,G_36_C,G,36,C,LV1 x TM2,,16,1240
1389,1404,14,2,F2,available,N,G_36_D,G,36,D,(DPR) x (WL2 x DPR),,7,733
1390,1405,14,2,F2,available,N,G_37_C,G,37,C,(WL1 x WL2) x (WL2 x CC),,9,1122
1391,1406,14,2,F2,available,N,G_37_D,G,37,D,(WL2 x TM2) x (CC x TM2),,10,261
1392,1407,14,2,Parent,available,N,G_38_C,G,38,C,WL2,,28,123
1393,1408,14,2,F2,available,N,G_38_D,G,38,D,(DPR x WL2) x (TM2 x WL2),,5,1447
1394,1409,14,2,Parent,available,N,G_39_C,G,39,C,DPR,,5,433
1395,1410,14,2,Parent,available,N,G_39_D,G,39,D,BH,,3,389
1420,1411,14,2,2023-survivor,2023-survivor,NA,G_40_C,G,40,C,BH,2,13,BH_2_13
1396,1412,14,2,Parent,available,N,G_40_D,G,40,D,TM2,,71,541
1397,1413,14,2,F2,available,N,G_41_C,G,41,C,(YO11 x WL2) x (WL2),,12,938
1398,1414,14,2,F2,available,N,G_41_D,G,41,D,(WL2 x DPR) x (DPR),,4,1197
1421,1415,14,2,2023-survivor,2023-survivor,NA,G_42_C,G,42,C,SC,2,27,SC_2_27
1399,1416,14,2,,available,N,G_42_D,G,42,D,,,,NA
1400,1417,14,2,Parent,available,N,G_43_C,G,43,C,TM2,,44,514
1401,1418,14,2,Parent,available,N,G_43_D,G,43,D,LV1,,19,19
1402,1419,14,2,,buffer,N,G_44_C,G,44,C,,,,buffer
1403,1420,14,2,F2,available,N,G_44_D,G,44,D,(WL1 x WL2) x (BH x WL2),,8,339
1404,1421,14,2,,buffer,N,G_45_C,G,45,C,,,,buffer
1405,1422,14,2,,buffer,N,G_45_D,G,45,D,,,,buffer
1422,1423,15,1,,buffer,N,H_1_A,H,1,A,,,,buffer
1423,1424,15,1,,buffer,N,H_1_B,H,1,B,,,,buffer
1424,1425,15,1,,buffer,N,H_2_A,H,2,A,,,,buffer
1425,1426,15,1,,buffer,N,H_2_B,H,2,B,,,,buffer
1426,1427,15,1,,buffer,N,H_3_A,H,3,A,,,,buffer
1427,1428,15,1,,buffer,N,H_3_B,H,3,B,,,,buffer
1428,1429,15,1,F2,available,N,H_4_A,H,4,A,(SQ3 x WL2) x (YO11 x WL2),,1,1500
1429,1430,15,1,Parent,available,N,H_4_B,H,4,B,LV1,,16,16
1450,1431,15,1,2023-survivor,2023-survivor,NA,H_5_A,H,5,A,SC,4,1,SC_4_1
1430,1432,15,1,Parent,available,N,H_5_B,H,5,B,SQ3,,7,28
1431,1433,15,1,Parent,available,N,H_6_A,H,6,A,TM2,,27,497
1451,1434,15,1,2023-survivor,2023-survivor,NA,H_6_B,H,6,B,SC,2,26,SC_2_26
1432,1435,15,1,F2,available,N,H_7_A,H,7,A,(DPR) x (DPR x WL2),,13,723
1433,1436,15,1,Parent,available,N,H_8_A,H,8,A,WL2,,60,155
1434,1437,15,1,F2,available,N,H_8_B,H,8,B,(TM2 x WL2) x (WL2),,6,362
1435,1438,15,1,,available,N,H_9_B,H,9,B,,,,NA
1464,1439,15,1,Parent,available,O,H_10_B,H,10,B,TM2,,53,523
1452,1440,15,1,2023-survivor,2023-survivor,NA,H_11_B,H,11,B,IH,2,1,IH_2_1
1453,1441,15,1,2023-survivor,2023-survivor,NA,H_12_B,H,12,B,SC,2,1,SC_2_1
1454,1442,15,1,2023-survivor,2023-survivor,NA,H_13_A,H,13,A,TM2,2,6,TM2_2_6
1465,1443,15,1,Parent,available,O,H_13_B,H,13,B,WL2,,71,166
1466,1444,15,1,F1,available,O,H_15_B,H,15,B,LV1 x WL2,,13,1263
1467,1445,15,1,Parent,available,O,H_17_A,H,17,A,TM2,,87,557
1468,1446,15,1,F2,available,O,H_17_B,H,17,B,(WL1 x TM2) x (WL2 x TM2),,7,327
1469,1447,15,1,F2,available,O,H_18_A,H,18,A,(TM2) x (TM2 x BH),,3,1132
1470,1448,15,1,Parent,available,O,H_18_B,H,18,B,BH,,20,406
1471,1449,15,1,F2,available,O,H_19_A,H,19,A,(WL1 x WL2) x (WL2 x TM2),,4,1149
1472,1450,15,1,F2,available,O,H_19_B,H,19,B,(WL2 x DPR) x (TM2 x WL2),,4,1317
1473,1451,15,1,Parent,available,O,H_20_A,H,20,A,TM2,,31,501
1474,1452,15,1,F2,available,O,H_20_B,H,20,B,(WL1 x WL2) x (BH x WL2),,11,342
1475,1453,15,1,F2,available,O,H_21_A,H,21,A,(TM2 x WL2) x (TM2),,1,343
1455,1454,15,1,2023-TM2-fruit,2023-TM2-fruit,NA,H_21_B,H,21,B,TM2,1,12,TM2_1_12
1476,1455,15,1,Parent,available,O,H_22_A,H,22,A,TM2,,66,536
1477,1456,15,1,F2,available,O,H_22_B,H,22,B,(TM2) x (TM2 x WL2),,15,234
1478,1457,15,1,F2,available,O,H_23_A,H,23,A,(TM2 x WL2) x (WL2),,4,360
1479,1458,15,1,F2,available,O,H_23_B,H,23,B,(DPR) x (WL2 x DPR),,8,734
1480,1459,15,1,F2,available,O,H_24_A,H,24,A,(TM2 x WL2) x (TM2 x BH),,11,1076
1481,1460,15,1,Parent,available,O,H_24_B,H,24,B,SQ3,,3,24
1482,1461,15,1,F2,available,O,H_25_A,H,25,A,(WL2 x TM2) x (WL2),,2,1323
1456,1462,15,1,2023-survivor,2023-survivor,NA,H_25_B,H,25,B,SC,4,14,SC_4_14
1483,1463,15,1,F2,available,O,H_26_A,H,26,A,(LV1 x WL2) x (LV1 x WL2),,3,1020
1484,1464,15,1,F2,available,O,H_26_B,H,26,B,(WV x WL2) x (WV),,11,278
1457,1465,15,1,2023-TM2-fruit,2023-TM2-fruit,NA,H_27_A,H,27,A,TM2,6,10,TM2_6_10
1485,1466,15,1,F2,available,O,H_27_B,H,27,B,(LV1 x WL2) x (WL2 x DPR),,11,966
1486,1467,15,1,F2,available,O,H_28_A,H,28,A,(YO11 x WL2) x (WL2),,9,935
1487,1468,15,1,Parent,available,O,H_28_B,H,28,B,TM2,,7,477
1488,1469,15,1,Parent,available,O,H_29_A,H,29,A,TM2,,36,506
1489,1470,15,1,,available,O,H_29_B,H,29,B,,,,NA
1490,1471,15,1,,available,O,H_30_A,H,30,A,,,,NA
1523,1472,15,1,F1,available,P,H_30_B,H,30,B,BH x TM2,,3,587
1458,1473,15,1,2023-survivor,2023-survivor,NA,H_31_A,H,31,A,YO7,4,11,YO7_4_11
1524,1474,15,1,F2,available,P,H_31_B,H,31,B,(WL1 x WL2) x (WL2 x TM2),,6,1151
1525,1475,15,1,F2,available,P,H_32_A,H,32,A,(LV1 x WL2) x (WL2),,7,70
1526,1476,15,1,Parent,available,P,H_32_B,H,32,B,TM2,,23,493
1527,1477,15,1,,buffer,P,H_33_A,H,33,A,,,,buffer
1528,1478,15,1,,buffer,P,H_33_B,H,33,B,,,,buffer
1459,1479,15,1,2023-survivor,2023-survivor,NA,H_34_A,H,34,A,WL2,2,7,WL2_2_7
1529,1480,15,1,,buffer,P,H_34_B,H,34,B,,,,buffer
1436,1481,16,2,,buffer,N,H_1_C,H,1,C,,,,buffer
1437,1482,16,2,,buffer,N,H_1_D,H,1,D,,,,buffer
1438,1483,16,2,,buffer,N,H_2_C,H,2,C,,,,buffer
1439,1484,16,2,,buffer,N,H_2_D,H,2,D,,,,buffer
1440,1485,16,2,2023-survivor,2023-survivor,NA,H_3_C,H,3,C,YO7,7,15,YO7_7_15
1441,1486,16,2,,buffer,N,H_3_D,H,3,D,,,,buffer
1442,1487,16,2,F2,available,N,H_4_D,H,4,D,(TM2 x WL2) x (WV x WL2),,1,1303
1443,1488,16,2,F2,available,N,H_5_D,H,5,D,(TM2 x BH) x (BH),,7,749
1444,1489,16,2,Parent,available,N,H_6_C,H,6,C,WL2,,82,177
1445,1490,16,2,F2,available,N,H_6_D,H,6,D,(TM2 x BH) x (TM2 x BH),,6,1340
1446,1491,16,2,F2,available,N,H_7_D,H,7,D,(TM2 x BH) x (TM2 x WL2),,7,1040
1447,1492,16,2,,available,N,H_8_C,H,8,C,,,,NA
1448,1493,16,2,,available,N,H_8_D,H,8,D,,,,NA
1449,1494,16,2,,available,N,H_9_C,H,9,C,,,,NA
1491,1495,16,2,F1,available,O,H_9_D,H,9,D,WV x TM2,,5,197
1492,1496,16,2,F1,available,O,H_10_C,H,10,C,LV1 x TM2,,1,1225
1493,1497,16,2,F2,available,O,H_10_D,H,10,D,(WL2) x (WV x WL2),,8,766
1460,1498,16,2,2023-survivor,2023-survivor,NA,H_11_C,H,11,C,IH,4,1,IH_4_1
1461,1499,16,2,2023-survivor,2023-survivor,NA,H_12_C,H,12,C,YO7,4,1,YO7_4_1
1494,1500,16,2,Parent,available,O,H_13_C,H,13,C,WL2,,1,96
1495,1501,16,2,Parent,available,O,H_14_D,H,14,D,WV,,14,463
1496,1502,16,2,F1,available,O,H_15_C,H,15,C,LV1 x TM2,,22,1246
1497,1503,16,2,F2,available,O,H_15_D,H,15,D,(DPR) x (DPR x WL2),,6,716
1498,1504,16,2,F1,available,O,H_16_D,H,16,D,TM2 x WL2,,2,1278
1499,1505,16,2,F2,available,O,H_17_D,H,17,D,(TM2 x BH) x (BH),,8,750
1500,1506,16,2,F2,available,O,H_18_C,H,18,C,(LV1 x WL2) x (WL2),,6,69
1501,1507,16,2,F2,available,O,H_18_D,H,18,D,(WL2 x DPR) x (WL2),,2,1099
1502,1508,16,2,F2,available,O,H_19_C,H,19,C,(SQ3 x WL2) x (WL2),,6,85
1503,1509,16,2,F1,available,O,H_19_D,H,19,D,BH x WL2,,1,611
1504,1510,16,2,F2,available,O,H_20_C,H,20,C,(WL2) x (DPR x WL2),,9,903
1505,1511,16,2,F2,available,O,H_20_D,H,20,D,(WL1 x WL2) x (WL2 x CC),,15,1128
1506,1512,16,2,Parent,available,O,H_21_C,H,21,C,TM2,,97,567
1507,1513,16,2,F1,available,O,H_21_D,H,21,D,WL2 x BH,,9,838
1508,1514,16,2,F2,available,O,H_22_C,H,22,C,(SQ3 x WL2) x (TM2 x WL2),,15,893
1509,1515,16,2,Parent,available,O,H_22_D,H,22,D,WL2,,17,112
1510,1516,16,2,F2,available,O,H_23_C,H,23,C,(TM2 x WL2) x (SQ3 x WL2),,16,320
1511,1517,16,2,Parent,available,O,H_23_D,H,23,D,WL2,,42,137
1512,1518,16,2,Parent,available,O,H_24_C,H,24,C,WL2,,64,159
1462,1519,16,2,2023-survivor,2023-survivor,NA,H_24_D,H,24,D,SC,6,13,SC_6_13
1513,1520,16,2,Parent,available,O,H_25_C,H,25,C,WL2,,97,192
1514,1521,16,2,Parent,available,O,H_25_D,H,25,D,WL1,,9,292
1515,1522,16,2,F1,available,O,H_26_C,H,26,C,WV x TM2,,18,211
1516,1523,16,2,F2,available,O,H_26_D,H,26,D,(WL2 x CC) x (WL2 x TM2),,6,1183
1517,1524,16,2,Parent,available,O,H_27_C,H,27,C,BH,,4,390
1518,1525,16,2,F2,available,O,H_27_D,H,27,D,(WV) x (WV x WL2),,9,1395
1519,1526,16,2,F2,available,O,H_28_C,H,28,C,(WL2 x TM2) x (CC x TM2),,11,262
1520,1527,16,2,F2,available,O,H_28_D,H,28,D,(TM2 x BH) x (TM2 x BH),,3,1337
1521,1528,16,2,,available,O,H_29_C,H,29,C,,,,NA
1522,1529,16,2,,available,O,H_29_D,H,29,D,,,,NA
1530,1530,16,2,Parent,available,P,H_30_C,H,30,C,TM2,,8,478
1531,1531,16,2,F2,available,P,H_30_D,H,30,D,(WL2 x TM2) x (CC x TM2),,12,263
1463,1532,16,2,2023-survivor,2023-survivor,NA,H_31_C,H,31,C,IH,5,13,IH_5_13
1532,1533,16,2,Parent,available,P,H_31_D,H,31,D,WL2,,61,156
1533,1534,16,2,F2,available,P,H_32_C,H,32,C,(YO11 x WL2) x (DPR x WL2),,1,773
1534,1535,16,2,F2,available,P,H_32_D,H,32,D,(WL2 x BH) x (SQ3 x WL2),,7,1168
1535,1536,16,2,,buffer,P,H_33_C,H,33,C,,,,buffer
1536,1537,16,2,,buffer,P,H_33_D,H,33,D,,,,buffer
1537,1538,16,2,,buffer,P,H_34_C,H,34,C,,,,buffer
1538,1539,16,2,,buffer,P,H_34_D,H,34,D,,,,buffer
1579,1540,17,1,,buffer,P,I_1_A,I,1,A,,,,buffer
1580,1541,17,1,,buffer,P,I_1_B,I,1,B,,,,buffer
1581,1542,17,1,,buffer,P,I_2_A,I,2,A,,,,buffer
1582,1543,17,1,,buffer,P,I_2_B,I,2,B,,,,buffer
1583,1544,17,1,F2,available,P,I_3_B,I,3,B,(LV1 x WL2) x (YO11 x WL2),,15,1000
1584,1545,17,1,F1,available,P,I_4_A,I,4,A,LV1 x TM2,,2,1226
1585,1546,17,1,F2,available,P,I_4_B,I,4,B,(WL2) x (DPR x WL2),,4,898
1586,1547,17,1,F2,available,P,I_5_A,I,5,A,(TM2 x BH) x (TM2 x BH),,7,1341
1587,1548,17,1,F2,available,P,I_5_B,I,5,B,(YO11 x WL2) x (WL2 x TM2),,10,797
1588,1549,17,1,F2,available,P,I_6_A,I,6,A,(TM2 x BH) x (BH),,9,751
1589,1550,17,1,F2,available,P,I_6_B,I,6,B,(SQ3 x WL2) x (WL2),,7,86
1590,1551,17,1,Parent,available,P,I_7_A,I,7,A,TM2,,74,544
1591,1552,17,1,F2,available,P,I_7_B,I,7,B,(WL1 x WL2) x (WL2 x CC),,12,1125
1592,1553,17,1,Parent,available,P,I_8_A,I,8,A,WL2,,96,191
1593,1554,17,1,Parent,available,P,I_8_B,I,8,B,TM2,,38,508
1594,1555,17,1,F2,available,P,I_9_A,I,9,A,(DPR x WL2) x (TM2 x WL2),,12,1454
1595,1556,17,1,Parent,available,P,I_9_B,I,9,B,BH,,5,391
1596,1557,17,1,F1,available,P,I_10_A,I,10,A,LV1 x WL2,,22,1272
1597,1558,17,1,Parent,available,P,I_10_B,I,10,B,WL2,,29,124
1598,1559,17,1,F1,available,P,I_11_A,I,11,A,LV1 x TM2,,26,1250
1599,1560,17,1,F2,available,P,I_11_B,I,11,B,(WL2 x CC) x (WL2 x TM2),,7,1184
1539,1561,17,1,2023-survivor,2023-survivor,NA,I_12_A,I,12,A,IH,1,1,IH_1_1
1600,1562,17,1,F2,available,P,I_12_B,I,12,B,(TM2 x WL2) x (SQ3 x WL2),,3,307
1601,1563,17,1,Parent,available,P,I_13_A,I,13,A,TM2,,54,524
1602,1564,17,1,F2,available,P,I_13_B,I,13,B,(SQ3 x WL2) x (LV1 x WL2),,15,863
1603,1565,17,1,F2,available,P,I_14_A,I,14,A,(LV1 x WL2) x (TM2 x WL2),,12,954
1604,1566,17,1,F2,available,P,I_14_B,I,14,B,(DPR x WL2) x (SQ3 x WL2),,8,686
1605,1567,17,1,,available,P,I_15_A,I,15,A,,,,NA
1606,1568,17,1,,available,P,I_15_B,I,15,B,,,,NA
1540,1569,17,1,,available,NA,I_16_A,I,16,A,,,,NA
1541,1570,17,1,2023-survivor,2023-survivor,NA,I_16_B,I,16,B,BH,2,1,BH_2_1
1542,1571,17,1,,available,NA,I_17_A,I,17,A,,,,NA
1543,1572,17,1,,available,NA,I_17_B,I,17,B,,,,NA
1544,1573,17,1,2023-survivor,2023-survivor,NA,I_18_A,I,18,A,BH,1,1,BH_1_1
1545,1574,17,1,,available,NA,I_18_B,I,18,B,,,,NA
1546,1575,17,1,,available,NA,I_19_A,I,19,A,,,,NA
1547,1576,17,1,,available,NA,I_19_B,I,19,B,,,,NA
1548,1577,17,1,,available,NA,I_20_A,I,20,A,,,,NA
1549,1578,17,1,,available,NA,I_20_B,I,20,B,,,,NA
1550,1579,17,1,,available,NA,I_21_A,I,21,A,,,,NA
1551,1580,17,1,,available,NA,I_21_B,I,21,B,,,,NA
1552,1581,17,1,,available,NA,I_22_A,I,22,A,,,,NA
1553,1582,17,1,,available,NA,I_22_B,I,22,B,,,,NA
1554,1583,17,1,,buffer,NA,I_23_A,I,23,A,,,,buffer
1555,1584,17,1,,buffer,NA,I_23_B,I,23,B,,,,buffer
1556,1585,17,1,,buffer,NA,I_24_A,I,24,A,,,,buffer
1557,1586,17,1,,buffer,NA,I_24_B,I,24,B,,,,buffer
1607,1587,18,2,,buffer,P,I_1_C,I,1,C,,,,buffer
1608,1588,18,2,,buffer,P,I_1_D,I,1,D,,,,buffer
1609,1589,18,2,,buffer,P,I_2_C,I,2,C,,,,buffer
1610,1590,18,2,,buffer,P,I_2_D,I,2,D,,,,buffer
1611,1591,18,2,F2,available,P,I_3_C,I,3,C,(WV x WL2) x (WV),,12,279
1558,1592,18,2,2023-survivor,2023-survivor,NA,I_3_D,I,3,D,BH,4,1,BH_4_1
1612,1593,18,2,Parent,available,P,I_4_D,I,4,D,WL2,,69,164
1613,1594,18,2,F2,available,P,I_5_C,I,5,C,(TM2 x WL2) x (WL2),,14,370
1614,1595,18,2,Parent,available,P,I_6_C,I,6,C,WL2,,2,97
1615,1596,18,2,F2,available,P,I_6_D,I,6,D,(WL1 x WL2) x (BH x WL2),,4,335
1616,1597,18,2,F2,available,P,I_7_C,I,7,C,(DPR) x (WL2 x DPR),,9,735
1617,1598,18,2,F1,available,P,I_7_D,I,7,D,WV x TM2,,6,198
1618,1599,18,2,Parent,available,P,I_8_C,I,8,C,BH,,19,405
1619,1600,18,2,Parent,available,P,I_8_D,I,8,D,WL2,,44,139
1620,1601,18,2,Parent,available,P,I_9_C,I,9,C,TM2,,81,551
1621,1602,18,2,F2,available,P,I_9_D,I,9,D,(WV) x (WV x WL2),,10,1396
1622,1603,18,2,F1,available,P,I_10_C,I,10,C,DPR x WL2,,1,1210
1623,1604,18,2,Parent,available,P,I_10_D,I,10,D,DPR,,15,443
1624,1605,18,2,F2,available,P,I_11_C,I,11,C,(WL2 x DPR) x (TM2 x WL2),,5,1318
1625,1606,18,2,Parent,available,P,I_11_D,I,11,D,WL1,,11,294
1626,1607,18,2,Parent,available,P,I_12_C,I,12,C,WV,,10,459
1627,1608,18,2,F2,available,P,I_12_D,I,12,D,(DPR x WL2) x (YO11 x WL2),,14,708
1628,1609,18,2,F1,available,P,I_13_C,I,13,C,TM2 x WL2,,12,1288
1629,1610,18,2,F2,available,P,I_13_D,I,13,D,(TM2 x BH) x (TM2 x WL2),,2,1035
1630,1611,18,2,,available,P,I_14_C,I,14,C,,,,NA
1631,1612,18,2,,available,P,I_14_D,I,14,D,,,,NA
1559,1613,18,2,,available,NA,I_15_C,I,15,C,,,,NA
1560,1614,18,2,,available,NA,I_15_D,I,15,D,,,,NA
1561,1615,18,2,,available,NA,I_16_C,I,16,C,,,,NA
1562,1616,18,2,,available,NA,I_16_D,I,16,D,,,,NA
1563,1617,18,2,,available,NA,I_17_C,I,17,C,,,,NA
1564,1618,18,2,,available,NA,I_17_D,I,17,D,,,,NA
1565,1619,18,2,,available,NA,I_18_C,I,18,C,,,,NA
1566,1620,18,2,,available,NA,I_18_D,I,18,D,,,,NA
