bed.block.order,bed.order,AB.CD.order,column.order,status,block,bed,row,col,pop.id,mf,dame_mf,sire_mf,rep,Unique.ID,Notes
96,171,4,2,available,B,C,23,C,WL1,8,8,,5,2405,
225,170,4,2,2024-survivor,,C,23,D,(DPR) x (WL2 x DPR),,,,11,737,
98,173,4,2,available,B,C,24,C,(CC x WL2) x (WL2),4_13-B,4,13-B,10,2070,
99,174,4,2,available,B,C,24,D,WL2,9,9,,88,1911,
100,175,4,2,available,B,C,25,C,WL1,13,13,,18,1820,
101,176,4,2,available,B,C,25,D,WL2,1,1,,5,1828,
226,177,4,2,out-of-bounds,,C,26,C,NA,,,,,NA,
227,178,4,2,out-of-bounds,,C,26,D,NA,,,,,NA,
228,179,4,2,out-of-bounds,,C,27,C,NA,,,,,NA,
229,180,4,2,out-of-bounds,,C,27,D,NA,,,,,NA,
102,181,4,2,available,B,C,28,C,WV,12,12,,11,1932,
230,182,4,2,buffer,,C,28,D,buffer,,,,,buffer,
231,183,4,2,2024-survivor,,C,29,C,(DPR) x (DPR x WL2),,,,1,711,
103,184,4,2,available,B,C,29,D,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,31,2269,
104,185,4,2,available,B,C,30,C,DPR,20,20,,16,2620,
105,186,4,2,available,B,C,30,D,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,50,2646,
106,187,4,2,available,B,C,31,C,SQ3 x WL2,6-C_8-A,6-C,8-A,1,2420,
107,188,4,2,available,B,C,31,D,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,5,2096,
108,189,4,2,available,B,C,32,C,(WV) x (WV x WL2),3_22,3,22,4,2580,
109,190,4,2,available,B,C,32,D,WL2 x LV1,2-A_14-A,2-A,14-A,5,2430,
110,191,4,2,available,B,C,33,C,(WV x TM2) x (TM2 x WL2),1_1,1,1,8,2339,
111,192,4,2,available,B,C,33,D,BH x WL2,1-3_8-10,3-Jan,10-Aug,4,2410,
112,193,4,2,available,B,C,34,C,(WV x WL2) x (WL2 x CC),3_1,3,1,10,2471,
113,194,4,2,available,B,C,34,D,(WL2 x BH) x (WL2 x CC),1_2,1,2,10,2201,
114,195,4,2,available,B,C,35,C,(WL2 x BH) x (WL2 x TM2),2_3,2,3,5,2218,
115,196,4,2,available,B,C,35,D,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,25,2153,
116,197,4,2,buffer,B,C,36,C,buffer,,,,,buffer,
117,198,4,2,buffer,B,C,36,D,buffer,,,,,buffer,
147,199,4,2,available,C,C,37,C,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,22,2260,
232,200,4,2,2024-survivor,,C,37,D,(DPR) x (DPR x WL2),,,,4,714,
148,201,4,2,available,C,C,38,C,LV1 x WL2,14_8,14,8,5,1982,
233,202,4,2,2024-survivor,,C,38,D,TM2,,,,69,539,
149,203,4,2,available,C,C,39,C,(WL2 x BH) x (WL2 x TM2),2_3,2,3,7,2220,
150,204,4,2,available,C,C,39,D,WL1,13,13,,19,1821,
151,205,4,2,available,C,C,40,C,TM2 x WL2,2_2,2,2,1,1992,
152,206,4,2,available,C,C,40,D,(WL2 x BH) x (WL2 x CC),1_2,1,2,13,2204,
153,207,4,2,available,C,C,41,C,(WV x TM2) x (TM2 x WL2),2_1,2,1,3,2607,
154,208,4,2,available,C,C,41,D,(WL2 x WV) x (CC x WL2),1_1,1,1,8,2554,
155,209,4,2,available,C,C,42,C,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,6,2446,
156,210,4,2,available,C,C,42,D,WL2 x WV,,,,4,2043,
234,211,4,2,2024-survivor,,C,43,C,(WL1 x WL2) x (WL2 x TM2),,,,11,1156,
235,212,4,2,2024-survivor,,C,43,D,(TM2 x BH) x (TM2 x WL2),,,,15,1048,
236,213,4,2,2024-survivor,,C,44,C,LV1 x WL2,,,,2,1252,
237,214,4,2,2024-survivor,,C,44,D,(TM2 x WL2) x (TM2 x WL2),,,,4,1085,
238,215,4,2,out-of-bounds,,C,45,C,NA,,,,,NA,
239,216,4,2,2024-survivor,,C,45,D,BH,,,,8,394,
240,217,4,2,out-of-bounds,,C,46,C,NA,,,,,NA,
157,218,4,2,available,C,C,46,D,TM2,8,8,,62,1766,
158,219,4,2,available,C,C,47,C,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,17,2255,
241,220,4,2,2024-survivor,,C,47,D,(WV) x (WV x WL2),,,,13,1399,
242,221,4,2,2024-survivor,,C,48,C,(SQ3 x WL2) x (WL2),,,,10,89,
159,222,4,2,available,C,C,48,D,WL2,10,10,,96,1919,
160,223,4,2,available,C,C,49,C,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,45,2643,
161,224,4,2,available,C,C,49,D,DPR x WL2,,,,3,2480,
162,225,4,2,available,C,C,50,C,TM2,,,,90,1794,
163,226,4,2,available,C,C,50,D,(SQ3 x WL2) x (WL2),3_13-B,3,13-B,6,2097,
164,227,4,2,available,C,C,51,C,SQ3,12,12,,11,2397,
165,228,4,2,available,C,C,51,D,WL2,1,1,,8,1831,
166,229,4,2,available,C,C,52,C,(WL2 x BH) x (WL2 x CC),1_2,1,2,5,2516,
167,230,4,2,available,C,C,52,D,SQ3,7,7,,18,1701,dead pre-planting
168,231,4,2,available,C,C,53,C,(WL2) x (WL2 x BH),3-14_1,14-Mar,1,3,2311,
169,232,4,2,available,C,C,53,D,TM2,11,11,,76,2640,
170,233,4,2,buffer,C,C,54,C,buffer,,,,,buffer,
171,234,4,2,buffer,C,C,54,D,buffer,,,,,buffer,
179,235,4,2,available,D,C,55,C,WL1 x WL2,2-3_2-2,3-Feb,2-Feb,3,2423,
180,236,4,2,available,D,C,55,D,(WL2 x BH) x (WL2 x CC),1_2,1,2,7,2519,
181,237,4,2,available,D,C,56,C,(WL2 x TM2) x (CC x TM2),2-3_2-3,3-Feb,3-Feb,6,2450,
182,238,4,2,available,D,C,56,D,(WV x TM2) x (WL2 x TM2),3_1,3,1,2,2559,
183,239,4,2,available,D,C,57,C,TM2,,,,94,1798,
184,240,4,2,available,D,C,57,D,WL2,2,2,,12,1835,
185,241,4,2,available,D,C,58,C,WL2 x TM2,,,,4,2031,
186,242,4,2,available,D,C,58,D,(WL2) x (WL2 x BH),3-14_1,14-Mar,1,3,2457,
243,243,4,2,buffer,,C,59,C,buffer,,,,,buffer,
244,244,4,2,buffer,,C,59,D,buffer,,,,,buffer,
245,245,4,2,buffer,,C,60,C,buffer,,,,,buffer,
246,246,4,2,buffer,,C,60,D,buffer,,,,,buffer,
422,247,5,1,buffer,,D,1,A,buffer,,,,,buffer,
423,248,5,1,buffer,,D,1,B,buffer,,,,,buffer,
424,249,5,1,buffer,,D,2,A,buffer,,,,,buffer,
425,250,5,1,buffer,,D,2,B,buffer,,,,,buffer,
426,251,5,1,buffer,,D,3,A,buffer,,,,,buffer,
427,252,5,1,buffer,,D,3,B,buffer,,,,,buffer,
247,253,5,1,available,D,D,4,A,TM2 x WL2,2_2,2,2,2,1993,
248,254,5,1,available,D,D,4,B,SQ3,7,7,,21,1704,
249,255,5,1,available,D,D,5,A,LV1 x WL2,14_8,14,8,4,2483,
428,256,5,1,available,,D,5,B,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,1,2239,moved here due to rock
429,257,5,1,out-of-bounds,,D,6,A,NA,,,,,NA,
250,258,5,1,out-of-bounds,D,D,6,B,NA,,,,,NA,
430,259,5,1,out-of-bounds,,D,7,A,NA,,,,,NA,
431,260,5,1,out-of-bounds,,D,7,B,NA,,,,,NA,
251,261,5,1,available,D,D,8,A,(CC x WL2) x (WL2),4_2A,4,2A,15,2075,
432,262,5,1,out-of-bounds,,D,8,B,NA,,,,,NA,
252,263,5,1,available,D,D,9,A,(TM2 x WL2) x (TM2),3_2-13,3,13-Feb,27,2155,
253,264,5,1,available,D,D,9,B,(WL2) x (WL2 x TM2),3-14_2,14-Mar,2,5,2320,
254,265,5,1,available,D,D,10,A,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,40,2278,
433,266,5,1,2024-survivor,,D,10,B,DPR,,,,8,436,
255,267,5,1,available,D,D,11,A,(WV x WL2) x (WL2 x CC),3_1,3,1,10,2362,
256,268,5,1,available,D,D,11,B,WL1,13,13,,20,1822,
434,269,5,1,out-of-bounds,,D,12,A,NA,,,,,NA,
435,272,5,1,2024-survivor,,D,12,B,WL1,,,,21,304,
258,271,5,1,available,D,D,13,A,(WV x WL2) x (WL2 x CC),3_1,3,1,10,2470,
257,270,5,1,available,D,D,13,B,(WL2 x BH) x (WL2 x CC),2_3,2,3,18,2209,
259,273,5,1,available,D,D,14,A,SQ3 x WL2,6-C_8-A,6-C,8-A,2,2417,
260,274,5,1,available,D,D,14,B,(WL2 x BH) x (WL2 x CC),1_2,1,2,14,2205,
261,275,5,1,available,D,D,15,A,TM2,,,,86,1790,added at randomization
436,278,5,1,2024-survivor,,D,15,B,(WL2 x DPR) x (WL2),,,,10,1107,
280,277,5,1,available,E,D,16,A,TM2 x WL2,2_2,2,2,4,1995,
282,280,5,1,available,E,D,16,B,YO11,5,5,,19,1961,
281,279,5,1,available,E,D,17,A,(WL2 x TM2) x (TM2),2_1-3,2,3-Jan,2,2240,
437,282,5,1,2024-survivor,,D,17,B,BH,,,,17,403,
283,281,5,1,available,E,D,18,A,(WL2 x BH) x (WL2 x CC),1_2,1,2,8,2521,
284,284,5,1,available,E,D,18,B,(WV x TM2) x (TM2 x WL2),2_1,2,1,5,2610,
438,283,5,1,available,,D,19,A,WL2,2,2,,12,2393,moved here due to 141 survival
286,286,5,1,2024-survivor,E,D,19,B,WL2,,,,46,141,
285,285,5,1,available,E,D,20,A,(WL2 x BH) x (WL2 x CC),2_3,2,3,20,2532,
262,276,5,1,buffer,D,D,20,B,buffer,,,,,buffer,
