bed,row,col,unique.ID,phen,diam.mm,num.flw,num.fruit or date.collected,long.fruit.cm,total.branch,overhd.diam,overhd.perp,survey.date,survey.notes,
E,28,B,715,P,16.76,0,6/28/24,8.2,1,85,81,6/28/24,Dehisced,
E,29,A,265,,,,,,,,,,,
E,29,B,150,X,6.48,NA,6/28/24,NA,3,11.1,12,6/28/24,,
E,30,A,975,,,,,,,,,,,
E,30,B,198,P,24,0,6/28/24,6.2,2,37.1,47,6/28/24,,
E,31,A,542,,,,,,,,,,,
E,31,B,102,,,,,,,,,,,
E,32,A,994,P,15.22,0,6/28/24,9.6,1,58,75.6,6/28/24,,
E,32,B,1387,P,15.18,5,7/11/24,8.6,1,108,67.1,7/10/24,,
E,33,A,2045,P,9.78,0,6/28/24,9.1,1,72.1,51.3,6/28/24,,
E,33,B,511,X,15.87,0,5/30/24,8,1,46,46,5/23/24,,
E,34,A,1247,P,10.74,0,6/28/24,9.2,1,56.1,55,6/28/24,Dehisced,
E,34,B,210,P,15.55,0,7/11/24,9.9,1,92.4,42.7,7/10/24,,
E,35,A,174,,,,,,,,,,,
E,35,B,739,P,13.6,0,7/11/24,7.9,1,66.2,33.5,7/10/24,,
E,36,A,1018,P,14.6,0,6/28/24,9.8,1,81,74.3,6/28/24,Dehisced,
E,36,B,888,X,,0,,NA,10,23.6,18.2,7/10/24,7/10 measure diain when harvesting,
E,37,A,530,V,11.08,0,,NA,5,18,14.9,7/10/24,,
E,37,B,248,x,14.18,0,5/30/24,7,2,23,20,5/23/24,,
E,38,A,138,V,4.85,0,,NA,1,8.7,7.4,7/10/24,,
E,38,B,727,P,14.69,0,5/30/24,7.5,5,70,62,5/23/24,,
E,39,A,693,P,13.88,0,6/6/24,7.4,1,64,69,6/6/24,,
E,39,B,586,V,16.78,0,,NA,8,22.8,21.4,7/10/24,7/10 re-measure diam when harvesting,
E,40,A,1042,X,6.43,NA,6/28/24,N4,1,12.1,11,6/28/24,,
E,40,B,2021,x,5.51,NA,6/28/24,NA,2,9,13,6/28/24,,
E,41,A,186,,,,,,,,,,,
E,41,B,27,,,,,,,,,,,
E,42,A,1102,V,12.62,0,,NA,1,18.1,16.9,7/10/24,,
E,42,B,1211,P,16.29,0,5/30/24,8.8,1,23,50,5/23/24,,
E,43,A,57,P,10.83,0,5/30/24,9.2,3,40,30,5/23/24,,
E,43,B,114,V,9.88,0,,NA,2,22.2,21,7/10/24,,
E,44,A,87,P,11.14,0,6/28/24,8.3,1,57,39.2,6/28/24,,
E,44,B,277,V,18.03,0,,NA,8,21.3,19.2,7/10/24,,
E,45,A,467,V,11.28,0,,NA,1,27.9,22.3,7/10/24,,
E,45,B,1223,P,17.08,0,5/30/24,7.8,1,65,60,5/23/24,,
E,46,A,buffer,,,,,,,,,,,
E,46,B,buffer,,,,,,,,,,,
E,1,C,buffer,,,,,,,,,,,
E,1,D,buffer,,,,,,,,,,,
E,2,C,243,P,13.97,0,5/30/24,7,1,40,40,5/23/24,,
E,2,D,2029,V,10.3,0,,NA,1,9.2,5.4,7/10/24,7/10 infested,
E,3,C,990,,,,,,,,,,,
E,3,D,581,X,15.16,0,6/20/24,3,1,23.5,22,6/20/24,,
E,4,C,1256,P,18.8,0,7/11/24,7.4,1,95,62.3,7/10/24,7/10 infested,
E,4,D,1383,P,22.41,0,6/20/24,7,1,112,110.5,6/20/24,,
E,5,C,1132,X,6.18,0,6/20/24,NA,1,26,20,6/20/24,no fruit,
E,5,D,735,,,,,,,,,,,
E,6,C,1321,,,,,,,,,,,
E,6,D,923,,,,,,,,,,,
E,7,C,218,,12,0,6/20/24,4.5,1,49,38,6/20/24,,
E,7,D,840,,,,,,,,,,,
E,8,C,122,V,6.3,0,,NA,1,9.4,7.6,7/10/24,,
E,8,D,1348,,,,,,,,,,,
E,9,C,1296,P,18.34,0,5/30/24,6.4,1,98,69.9,5/17/24,plant drying 5/30 seliques already dehisced,
E,9,D,784,P,16.8,0,6/20/24,5.7,1,88,65,6/20/24,,
E,10,C,10,P,9.98,0,5/30/24,7.2,1,NA,NA,5/30/24,5/30 harvested before hand measurements couldn't get canopy,
E,10,D,359,,,,,,,,,,,
E,11,C,36,P,13.51,0,5/30/24,7.5,3,30,20,5/23/24,,
E,11,D,626,X,15.75,0,6/6/24,8.4,1,76,69,6/6/24,,
E,12,C,1038,X,NA,0,6/20/24,NA,2,22,16,6/20/24,no fruit/caft means,
E,12,D,567,P,27.5,0,6/20/24,7.9,2,120,80,6/20/24,,
E,13,C,1144,V,10.71,0,,NA,6,27.3,22.4,7/10/24,,
E,13,D,383,X,3.83,0,,NA,1,2.2,1.4,,7/10 lost tag,
E,14,C,98,P,20.45,0,6/20/24,9.2,1,110,100,6/20/24,,
E,14,D,723,,,,,,,,,,,
E,15,C,1165,X,NA,0,6/20/24,NA,1,9.2,9.5,6/20/24,cant measure no fruit/diameter,
E,15,D,1098,,,,,,,,,,,
E,16,C,1219,P,23.44,0,6/20/24,7.3,1,95,86,6/20/24,,
E,16,D,146,,,,,,,,,,,
E,17,C,286,X,3.25,0,,NA,1,2.3,1.4,7/10/24,,
E,17,D,1074,P,3.27,0,6/20/24,4.7,1,17.5,10.5,6/20/24,,
E,18,C,194,,,,,,,,,,,
E,18,D,555,P,17.1,0,6/20/24,7.4,1,77,39,6/20/24,some roots collected,
E,19,C,960,,,,,,,,,,,
E,19,D,51,P,6.95,0,5/30/24,10.5,1,20,15,5/23/24,,
E,20,C,1204,P,16.26,0,5/30/24,10.5,1,100,95,5/23/24,5 30 Not flagged but ready for census so collected,
E,20,D,475,P,10.87,0,6/20/24,3.9,1,23.9,19.3,6/20/24,some roots collected,
E,21,C,661,P,11.61,0,6/20/24,6.5,1,64,31,6/10/24,,
E,21,D,1231,P,13.64,0,5/30/24,7.5,1,68,40,5/23/24,,
E,22,C,879,X,9.21,0,,NA,1,40.2,26.1,7/10/24,Dead 7/10/24,
E,22,D,1002,P,16.87,0,6/20/24,8.9,1,75,74,6/20/24,,
E,23,C,buffer,,,,,,,,,,,
E,23,D,318,,,,,,,,,,,
E,24,C,buffer,,,,,,,,,,,
