bed,row,col,unique.ID,height.cm,long.leaf.cm,herbiv.y.n,survey.notes
A,43,D,790,,,,12/14 pale/dying
A,44,C,1032,12.2,5.8,Y,
A,44,D,1249,67.3,2.7,N,Very wilted
A,45,C,1304,30.3,3.7,Y,
A,45,D,128,16.7,1.9,N,
A,46,C,buffer,,,,
A,46,D,buffer,,,,
B,1,A,buffer,,,,
B,1,B,buffer,,,,
B,2,A,259,56.8,2.2,N,
B,2,B,132,,,,
B,3,A,623,88.7,3.7,N,
B,3,B,1200,95.6,2.3,N,
B,4,A,381,,,,
B,4,B,1368,81.7,3.4,N,
B,5,A,271,,,,
B,5,B,850,,,,
B,6,A,180,,,,
B,6,B,228,NA,NA,NA,5/16 dead
B,7,A,838,,,,
B,7,B,748,87.2,2.5,N,
B,8,A,461,,,,
B,8,B,733,84.3,2.8,N,
B,9,A,33,72.8,2.2,N,
B,9,B,685,71.2,3,N,
B,10,A,192,,,,
B,10,B,1294,,,,
B,11,A,671,106,5.2,N,
B,11,B,577,,,,
B,12,A,2039,,,,
B,12,B,921,,,,
B,13,A,1096,9.1,6.6,N,
B,13,B,204,121.4,7.5,N,
B,14,A,1241,90,5.8,Y,
B,14,B,721,,,,
B,15,A,2051,31.2,4,N,
B,15,B,553,93.5,1.9,N,
B,16,A,96,83.2,1.8,N,
B,16,B,216,102.1,6.6,N,
B,17,A,1012,84.3,6.3,Y,
B,17,B,168,,,,
B,18,A,1282,73.9,1.5,N,
B,18,B,1142,,,,
B,19,A,345,8.8,1.7,N,
B,19,B,49,93.2,3.9,N,
B,20,A,1000,,,,
B,20,B,1084,6.5,1.6,N,
B,21,A,797,17,NA,N,5/16 dyinig
B,21,B,565,105.3,5.1,N,
B,22,A,609,107,4.5,N,
B,22,B,7,98.2,1.9,N,
B,23,A,buffer,,,,
B,23,B,433,,,,dead at planting
B,24,A,buffer,,,,
B,24,B,1347,11.6,4.2,N,
B,25,A,50,112.5,5.1,N,
B,25,B,868,15.5,3.4,N,
